query_path,query_name,query_label,base_path,base_name,base_label,global_similarity,orb_similarity,similarity,relevant,rank
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\tsg-nnvovovoovoo.jpg,tsg-nnvovovoovoo.jpg,tsg,0.4873898923397064,0.125,0.2518364623188972,False,1
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\yk-T6V9X3Z7A2D5G8K1.png,yk-T6V9X3Z7A2D5G8K1.png,yk,0.3881555497646332,0.1625,0.2414794424176216,False,2
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\zx-oitytf.jpg,zx-oitytf.jpg,zx,0.4101262092590332,0.15,0.2410441732406616,False,3
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\ty-1evb87.jpg,ty-1evb87.jpg,ty,0.5200595855712891,0.0875,0.23889585494995114,False,4
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\util_pic\worcester_000114.jpg,worcester_000114.jpg,irrelevant,0.4963364899158478,0.1,0.2387177714705467,False,5
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\nm-p93rqhnksp3249.png,nm-p93rqhnksp3249.png,nm,0.4480237364768982,0.125,0.23805830776691433,False,6
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-adf100.jpg,sjz-adf100.jpg,sjz,0.3747538626194,0.1625,0.23678885191679,False,7
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\zx-sbdfbdgfbh.jpg,zx-sbdfbdgfbh.jpg,zx,0.38826900720596313,0.15,0.2333941525220871,False,8
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-jhbhbhsy.jpg,sjz-jhbhbhsy.jpg,sjz,0.3776310086250305,0.15,0.22967085301876067,False,9
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-20160428144501870536.jpg,sjz-20160428144501870536.jpg,sjz,0.3776310086250305,0.15,0.22967085301876067,False,10
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-wxmgjo28879551.jpg,sjz-wxmgjo28879551.jpg,sjz,0.3776310086250305,0.15,0.22967085301876067,False,11
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-djue94839443e8r.jpg,sjz-djue94839443e8r.jpg,sjz,0.3776310086250305,0.15,0.22967085301876067,False,12
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-dln.jpg,sjz-dln.jpg,sjz,0.3776310086250305,0.15,0.22967085301876067,False,13
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-ooad0fhq93.jpg,sjz-ooad0fhq93.jpg,sjz,0.3776310086250305,0.15,0.22967085301876067,False,14
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-vai183.jpg,sjz-vai183.jpg,sjz,0.3776310086250305,0.15,0.22967085301876067,False,15
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-oixfnwe5.jpg,sjz-oixfnwe5.jpg,sjz,0.3776310086250305,0.15,0.22967085301876067,False,16
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\util_pic\magdalen_001037.jpg,magdalen_001037.jpg,irrelevant,0.4181724190711975,0.125,0.22761034667491914,False,17
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\mh-e1ae85a004494397fca424cb872558d.jpg,mh-e1ae85a004494397fca424cb872558d.jpg,mh,0.4841768741607666,0.0875,0.22633690595626832,False,18
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\zx-dsjlslj552.jpg,zx-dsjlslj552.jpg,zx,0.4539545774459839,0.1,0.22388410210609436,False,19
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\util_pic\worcester_000061.jpg,worcester_000061.jpg,irrelevant,0.5226747989654541,0.0625,0.22356117963790892,False,20
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\util_pic\oxford_002839.jpg,oxford_002839.jpg,irrelevant,0.568019688129425,0.0375,0.22318189084529877,False,21
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\fhy-phcuhcbGU2Y8RY89E.jpg,fhy-phcuhcbGU2Y8RY89E.jpg,fhy,0.47352975606918335,0.0875,0.22261041462421416,True,22
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\util_pic\christ_church_000838.jpg,christ_church_000838.jpg,irrelevant,0.4038245379924774,0.125,0.2225885882973671,False,23
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\fhy-qwesdcxzv.jpg,fhy-qwesdcxzv.jpg,fhy,0.37820202112197876,0.1375,0.22174570739269256,True,24
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-lpl2.png,sjz-lpl2.png,sjz,0.3741087317466736,0.1375,0.22031305611133575,False,25
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-yrbke5e612d3g8.jpg,sjz-yrbke5e612d3g8.jpg,sjz,0.4665462374687195,0.0875,0.22016618311405178,False,26
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\util_pic\oxford_002978.jpg,oxford_002978.jpg,irrelevant,0.4406147003173828,0.1,0.21921514511108398,False,27
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\fhy-abdf18a5844b20.jpg,fhy-abdf18a5844b20.jpg,fhy,0.5061804056167603,0.0625,0.21778814196586607,True,28
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-w893yre9h4g4.jpg,sjz-w893yre9h4g4.jpg,sjz,0.29609113931655884,0.175,0.21738189876079558,False,29
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\fhy-v6dswbnt62fd3i.jpg,fhy-v6dswbnt62fd3i.jpg,fhy,0.43369945883750916,0.1,0.2167948105931282,True,30
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\nm-99c58f09c26437b9647b5065151fd22.jpg,nm-99c58f09c26437b9647b5065151fd22.jpg,nm,0.500977098941803,0.0625,0.21596698462963101,False,31
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\util_pic\trinity_000292.jpg,trinity_000292.jpg,irrelevant,0.2868226170539856,0.175,0.21413791596889495,False,32
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-omq0lu59wxw0yph.png,sjz-omq0lu59wxw0yph.png,sjz,0.3776310086250305,0.125,0.21342085301876068,False,33
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\yf-xfboru51771692.png,yf-xfboru51771692.png,yf,0.4238310158252716,0.1,0.21334085553884505,False,34
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-1bu4h.jpg,sjz-1bu4h.jpg,sjz,0.44629552960395813,0.0875,0.21307843536138532,False,35
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\tsg-e1cw1sq1.jpg,tsg-e1cw1sq1.jpg,tsg,0.3748709559440613,0.125,0.21245483458042147,False,36
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\zx-ytq269.jpg,zx-ytq269.jpg,zx,0.373452365398407,0.125,0.21195832788944247,False,37
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\tsg-zjybjtu030506007.jpg,tsg-zjybjtu030506007.jpg,tsg,0.3485264778137207,0.1375,0.21135926723480225,False,38
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sjz-b4573c19942bd783ae0ce0c5866af34f.jpg,sjz-b4573c19942bd783ae0ce0c5866af34f.jpg,sjz,0.4408852458000183,0.0875,0.21118483603000637,False,39
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\zx-a2s3d4f5g6h7j8k9.jpg,zx-a2s3d4f5g6h7j8k9.jpg,zx,0.4637914001941681,0.075,0.21107699006795883,False,40
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\fhy-f93gno39ong3g.jpg,fhy-f93gno39ong3g.jpg,fhy,0.34728187322616577,0.1375,0.21092365562915802,True,41
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\fhy-isojdf85236974.jpg,fhy-isojdf85236974.jpg,fhy,0.43920546770095825,0.0875,0.2105969136953354,True,42
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\zx-clp6445345367.png,zx-clp6445345367.png,zx,0.29960113763809204,0.1625,0.21048539817333223,False,43
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\zx-ewo243o2r232.jpg,zx-ewo243o2r232.jpg,zx,0.2752819061279297,0.175,0.21009866714477538,False,44
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\zx-gcdsrtfgmcfj7tlg.png,zx-gcdsrtfgmcfj7tlg.png,zx,0.39050161838531494,0.1125,0.20980056643486023,False,45
d:\CODE\PY\BJTU_Vision\image_retrieval\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,d:\CODE\PY\BJTU_Vision\image_retrieval\base\BJTU\sy-ea6617892315c37f0e2b7c859da1646f.jpg,sy-ea6617892315c37f0e2b7c859da1646f.jpg,sy,0.4354061186313629,0.0875,0.20926714152097703,False,46
